openTime,open,high,low,close,volume,closeTime,quoteAssetVolume,numOfTrades,takerBuyBaseAssetVolume,takerBuyQuoteAssetVolume,_
1609459200000,28923.63000000,29470.00000000,28690.17000000,29313.49000000,27153.07214600,1609502399999,792533421.92601364,654565,14345.89823700,418835875.44224237,0
1609502400000,29313.49000000,29600.00000000,28624.57000000,29331.69000000,27029.85286500,1609545599999,789993567.23585901,660345,13109.90348800,383411869.10286172,0
1609545600000,29331.70000000,29899.00000000,28946.53000000,29755.00000000,26485.47597900,1609588799999,782644185.76135399,566763,14406.64539400,425834449.53469708,0
1609588800000,29754.99000000,33300.00000000,29741.39000000,32178.33000000,103508.39738300,1609631999999,3291197977.91018718,1679159,53039.65985200,1684500274.35244879,0
1609632000000,32176.45000000,34778.11000000,31962.99000000,34413.53000000,59827.96207000,1609675199999,2017134035.16069976,1134922,30181.97739000,1017204946.46231596,0
1609675200000,34413.53000000,34600.00000000,32267.00000000,33000.05000000,61129.60468000,1609718399999,2040464390.33131673,1234776,29568.35548100,987223487.46953026,0
1609718400000,33000.05000000,33600.00000000,28130.00000000,30743.06000000,82527.13355400,1609761599999,2599684276.37996010,1515982,39891.16611000,1258413353.78193302,0
1609761600000,30742.99000000,32185.67000000,30454.25000000,31988.71000000,58372.75213600,1609804799999,1829326073.31538477,1126426,29197.30312000,915022055.23505489,0
1609804800000,31989.75000000,32853.38000000,29900.00000000,31776.66000000,57087.73687800,1609847999999,1798161900.12240740,1240378,28946.28283200,913034390.06567511,0
1609848000000,31776.66000000,34360.00000000,31111.78000000,33949.53000000,58962.26016000,1609891199999,1945455244.52450789,1286473,30745.47192300,1014160703.57587454,0
1609891200000,33949.53000000,35766.58000000,33288.00000000,34918.53000000,62995.36943600,1609934399999,2172935895.10131408,1231238,32040.43495000,1106479715.53002297,0
1609934400000,34918.54000000,36939.21000000,34052.42000000,36769.36000000,64143.83187400,1609977599999,2259018353.41830031,1360545,31012.47970200,1093152754.69152594,0
1609977600000,36769.36000000,37913.72000000,36300.00000000,37822.09000000,53191.39770200,1610020799999,1974480190.20739238,1119451,25725.91582600,955533952.35682731,0
1610020800000,37825.64000000,40365.00000000,36500.00000000,39432.28000000,79634.30273500,1610063999999,3088089753.17597918,1695235,39329.19131000,1527049287.49966975,0
1610064000000,39432.48000000,41500.45000000,36500.00000000,41286.67000000,68099.92385500,1610107199999,2655816470.38256094,1385655,32642.60338200,1276059981.51058392,0
1610107200000,41286.67000000,41950.00000000,38652.00000000,40582.81000000,71690.03364400,1610150399999,2912626738.34880443,1539977,34657.55183400,1408915464.46832105,0
1610150400000,40586.96000000,41237.44000000,38720.00000000,40565.77000000,40888.60204500,1610193599999,1638362281.07092020,1079760,20869.34603700,836632958.12406693,0
1610193600000,40565.77000000,41380.00000000,39869.00000000,40088.22000000,34897.37763000,1610236799999,1416416748.09085649,918396,16137.97587200,655357747.42763215,0
1610236800000,40088.22000000,41350.00000000,38888.00000000,39181.76000000,39820.58514700,1610279999999,1610521527.71067079,1029518,18653.52571200,755299204.48738116,0
1610280000000,39175.09000000,40126.00000000,35111.11000000,38150.02000000,78388.95935600,1610323199999,2993513201.79639941,1598532,36797.81896100,1405677692.34064621,0
1610323200000,38150.02000000,38264.74000000,32538.00000000,34198.56000000,109921.20252700,1610366399999,3861693039.96725388,2060299,53725.91584400,1889345798.98970233,0
1610366400000,34198.55000000,35638.55000000,30420.00000000,35404.47000000,141234.93576000,1610409599999,4636036977.93125190,2412658,69515.67293800,2282545723.06708376,0
1610409600000,35410.37000000,36628.00000000,33677.03000000,35410.99000000,62106.57164200,1610452799999,2193856030.53674739,1291031,30868.99791500,1090424853.93049244,0
1610452800000,35410.99000000,35688.82000000,32531.00000000,34051.24000000,71841.58035400,1610495999999,2457446392.94736896,1383114,34229.31228100,1171307624.89955917,0
1610496000000,34049.15000000,35250.00000000,32380.00000000,34385.48000000,67383.08500900,1610539199999,2282150277.28883093,1286660,34501.97587600,1169739937.89941286,0
1610539200000,34385.48000000,37850.00000000,34017.00000000,37371.38000000,57094.82992900,1610582399999,2040726329.13079493,1227629,29479.06243000,1053132753.47249920,0
1610582400000,37371.38000000,38786.10000000,36701.23000000,38365.86000000,45557.52640000,1610625599999,1724982637.91922807,1041247,22884.50928700,866812435.28556695,0
1610625600000,38365.86000000,40100.00000000,37707.00000000,39144.50000000,57392.86302100,1610668799999,2249844000.22586067,1256219,28379.95780500,1112630157.76443251,0
1610668800000,39145.21000000,39747.76000000,37554.94000000,38108.88000000,39014.96236400,1610711999999,1506001639.62635314,960386,18849.57981800,727858499.58684723,0
1610712000000,38108.87000000,38194.04000000,34408.00000000,36742.22000000,79285.95855200,1610755199999,2865587259.05528339,1600415,38888.45440200,1405865313.17301500,0
1610755200000,36737.43000000,37950.00000000,35520.00000000,37680.00000000,43331.38676600,1610798399999,1597444481.32014990,996033,21697.96017200,800496549.27335496,0
1610798400000,37680.00000000,37886.00000000,35357.80000000,35994.98000000,43017.04474200,1610841599999,1581395854.82913460,1070330,20722.46356400,762663572.73797941,0
1610841600000,35994.98000000,36744.05000000,33850.00000000,35267.17000000,45399.87613400,1610884799999,1600251217.04242275,1007220,21613.65309700,762293846.55213436,0
1610884800000,35270.00000000,36852.50000000,34666.00000000,35828.61000000,34757.85125000,1610927999999,1242851823.19824130,853422,17899.98546400,640354786.29909024,0
1610928000000,35824.99000000,36650.00000000,34800.00000000,36442.08000000,34515.95640400,1610971199999,1235926960.78251546,807486,16419.88187400,588592458.12995860,0
1610971200000,36443.91000000,37469.83000000,35400.00000000,36631.27000000,36182.16234600,1611014399999,1318916299.74188351,900280,19201.62417400,700754729.03657032,0
1611014400000,36622.46000000,37535.27000000,36002.01000000,37266.49000000,41802.41027100,1611057599999,1541552690.78195861,930826,21049.52990200,776609292.20079190,0
1611057600000,37263.73000000,37850.00000000,35844.06000000,35891.49000000,37808.89749800,1611100799999,1393795808.56225545,1008545,17655.15171800,651626417.65117742,0
1611100800000,35901.94000000,36415.31000000,34000.00000000,34426.17000000,46893.42122600,1611143999999,1653565350.82454989,1160958,21910.84327200,772945282.12893124,0
1611144000000,34426.17000000,35670.00000000,33400.00000000,35468.23000000,42475.00169200,1611187199999,1473155742.69622633,1073581,20635.79080500,716344686.30753889,0
1611187200000,35468.23000000,35600.00000000,32009.68000000,32208.62000000,54812.83014000,1611230399999,1846647203.80654891,1237398,25615.57518400,863412160.17971696,0
1611230400000,32206.89000000,32784.31000000,30071.00000000,30850.13000000,80191.24651800,1611273599999,2540136382.69767664,1644107,37640.63526400,1193828356.43947570,0
1611273600000,30851.99000000,32152.90000000,28850.00000000,31710.88000000,91497.46513200,1611316799999,2804126494.17231015,1632710,44418.35708500,1361878160.37447644,0
1611316800000,31712.09000000,33826.53000000,31286.00000000,32945.17000000,51474.21891700,1611359999999,1679169377.84996253,1075100,25731.83137000,839283410.12419432,0
1611360000000,32950.00000000,33456.00000000,31511.24000000,31645.49000000,37130.34461600,1611403199999,1209370797.05760003,938963,18914.09976400,616124316.78310953,0
1611403200000,31643.90000000,32538.61000000,31390.16000000,32078.00000000,27464.94305900,1611446399999,879727498.70083658,761093,13766.67636400,440989857.76911771,0
1611446400000,32078.00000000,33071.00000000,31630.00000000,32833.37000000,26502.59586300,1611489599999,861260819.15589001,679564,13448.19748300,437107481.69751226,0
1611489600000,32833.37000000,32931.59000000,30900.00000000,32259.90000000,31475.44210300,1611532799999,1003348846.20981167,848723,14377.92171400,458613640.31944214,0
1611532800000,32259.45000000,33797.96000000,32175.61000000,33185.26000000,37059.57980000,1611575999999,1226486888.98082689,861977,19275.07605200,637797430.96151012,0
1611576000000,33185.25000000,34875.00000000,31910.00000000,32254.20000000,51439.64712100,1611619199999,1732272399.58274150,1244571,25214.44808000,850634603.53091129,0
1611619200000,32254.19000000,32827.33000000,31100.00000000,31796.95000000,42546.69079200,1611662399999,1357578867.01370770,988449,21213.13449400,676944575.68463019,0
1611662400000,31798.65000000,32921.88000000,30837.37000000,32467.77000000,42425.51611800,1611705599999,1350966497.48093350,1021943,21189.17842300,675733523.18169078,0
1611705600000,32464.01000000,32557.29000000,30578.94000000,30639.05000000,34593.29020600,1611748799999,1092179586.61475202,791935,16699.69274300,527456183.00720157,0
1611748800000,30635.74000000,31649.99000000,29241.72000000,30366.15000000,61318.67150500,1611791999999,1865901835.02680712,1274018,29964.68889500,912623602.11331025,0
1611792000000,30362.19000000,31876.63000000,29842.10000000,31437.37000000,38504.40368500,1611835199999,1199141338.48606417,860338,19284.99942000,601128611.93292835,0
1611835200000,31437.37000000,33783.98000000,31161.96000000,33364.86000000,54116.74193200,1611878399999,1754411875.57961770,1200322,26782.78290600,867827544.55214295,0
1611878400000,33368.18000000,37990.00000000,31915.40000000,37025.32000000,129828.23653600,1611921599999,4519879914.26452546,2424345,67238.41084800,2342688413.04670037,0
1611921600000,37023.83000000,38531.90000000,33500.00000000,34252.20000000,101998.76909000,1611964799999,3675713421.96394118,1979004,49298.83699900,1779252620.59062477,0
1611964800000,34246.28000000,34933.00000000,32825.00000000,33660.40000000,50394.57754200,1612007999999,1707529931.74882411,1173745,24738.83107400,838653353.45891263,0
1612008000000,33660.40000000,34800.00000000,33410.63000000,34262.88000000,34495.10379800,1612051199999,1176970131.18925431,1027295,17679.63602500,603328047.19472562,0
1612051200000,34262.89000000,34342.69000000,33205.00000000,33563.23000000,26533.64027000,1612094399999,896201516.74837953,707436,12929.99970500,436765363.14271107,0
1612094400000,33563.24000000,34220.00000000,32171.67000000,33092.98000000,42208.64011400,1612137599999,1393439529.00963280,999628,19550.44765300,645737188.37786007,0
1612137600000,33092.97000000,34717.27000000,32296.16000000,34183.33000000,49546.36940100,1612180799999,1672338091.37462577,1126225,25741.01673900,869115184.86315733,0
1612180800000,34183.33000000,34460.00000000,33133.26000000,33526.37000000,33171.90748100,1612223999999,1119438566.63097983,684267,16114.82474700,544043781.86494059,0
1612224000000,33517.09000000,35668.10000000,33418.00000000,34720.15000000,41601.98797000,1612267199999,1434493333.57901237,880178,21373.65874400,737336010.99353187,0
1612267200000,34722.97000000,35984.33000000,34333.00000000,35466.24000000,36454.67191000,1612310399999,1281828562.73859614,909494,17842.90436200,627454953.64336772,0
1612310400000,35472.71000000,36845.00000000,35362.38000000,35969.41000000,38504.43208900,1612353599999,1392225999.34178534,813957,19264.32149300,696637718.82641955,0
1612353600000,35969.41000000,37662.63000000,35810.90000000,37618.87000000,42279.90157400,1612396799999,1559006788.84251994,1067783,20598.75356700,759610327.31549760,0
